event_id;license_id;category;position
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;18455;Egyes;9
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;16929;Egyes;5
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;18805;Egyes;33
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;17521;Egyes;2
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;19356;Egyes;3
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;10998;Egyes;1
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;17037;Egyes;9
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;18804;Egyes;9
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;10396;Egyes;5
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;18388;Egyes;17KV
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;16027;Egyes;17KV
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;8976;Egyes;3
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;16747;Egyes;5
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;19024;Egyes;17KV
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;17736;Egyes;17
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;18526;Egyes;33
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;16648;Egyes;17
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;15335;Egyes;17KV
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;19974;Egyes;5
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;14514;Egyes;CS3
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;18507;Egyes;CS3
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;14460;Egyes;9
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;15974;Egyes;9
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;18329;Egyes;17KV
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;19340;Egyes;CS3
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;16035;Egyes;33
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;21379;Egyes;17KV
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;19558;Egyes;17
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;16298;Egyes;CS3
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;17853;Egyes;CS3
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;19099;Egyes;17KV
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;19869;Egyes;17
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;10891;Egyes;9
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;21657;Egyes;CS4
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;20146;Egyes;CS4
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;8739;Egyes;17KV
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;17168;Egyes;33
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;10890;Egyes;17KV
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;18810;Egyes;17KV
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;17463;Egyes;CS3
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;12256;Egyes;9
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;21233;Egyes;9
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;10945;Egyes;17KV
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;10284;Egyes;CS3
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;19788;Egyes;CS3
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;18326;Egyes;CS4
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;16140;Egyes;33
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;17737;Egyes;CS3
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;8445;Egyes;17
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;18529;Egyes;CS3
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;10895;Egyes;CS3
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;20970;Egyes;CS3
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;8736;Egyes;33
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;21628;Egyes;CS3
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;20138;Egyes;CS3
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;9478;Egyes;CS3
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;18455;Páros;2
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;16929;Páros;3
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;18805;Páros;5
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;17521;Páros;1
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;19356;Páros;2
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;17037;Páros;5
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;18804;Páros;5
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;10396;Páros;1
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;18388;Páros;3
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;16027;Páros;5
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;8976;Páros;3
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;16747;Páros;5
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;19024;Páros;9
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;17736;Páros;5
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;18526;Páros;9
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;16648;Páros;5
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;15335;Páros;17
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;19974;Páros;9
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;10927;Páros;3
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;14514;Páros;17
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;18507;Páros;9
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;14460;Páros;17
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;15974;Páros;5
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;18329;Páros;17
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;19340;Páros;17
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;16035;Páros;17
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;21379;Páros;9
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;19558;Páros;17
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;16298;Páros;17
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;17853;Páros;17
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;19099;Páros;17
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;19869;Páros;9
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;10891;Páros;9
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;21657;Páros;17
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;20146;Páros;9
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;17168;Páros;17
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;10890;Páros;17
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;18810;Páros;9
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;17463;Páros;17
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;21892;Páros;17
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;10945;Páros;17
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;10284;Páros;9
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;19788;Páros;9
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;18326;Páros;9
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;17737;Páros;17
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;20970;Páros;17
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;18455;Vegyes;17KV
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;16929;Vegyes;5
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;18805;Vegyes;5
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;17521;Vegyes;17KV
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;19356;Vegyes;2
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;17037;Vegyes;9
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;18804;Vegyes;3
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;18388;Vegyes;9
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;16027;Vegyes;9
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;10997;Vegyes;1
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;16747;Vegyes;9
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;19024;Vegyes;17KV
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;17736;Vegyes;17KV
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;18526;Vegyes;5
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;16648;Vegyes;3
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;15335;Vegyes;33
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;19974;Vegyes;17
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;14514;Vegyes;17KV
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;18507;Vegyes;17
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;14460;Vegyes;5
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;15974;Vegyes;17
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;18329;Vegyes;9
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;19340;Vegyes;9
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;16035;Vegyes;33
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;21379;Vegyes;17
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;19558;Vegyes;17
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;16298;Vegyes;9
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;17853;Vegyes;33
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;19869;Vegyes;17KV
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;21657;Vegyes;17
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;8739;Vegyes;17
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;17168;Vegyes;17KV
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;10890;Vegyes;9
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;18810;Vegyes;17
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;17463;Vegyes;33
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;10945;Vegyes;17KV
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;10284;Vegyes;33
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;19788;Vegyes;33
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;18326;Vegyes;33
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;17737;Vegyes;33
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;18529;Vegyes;33
ec7dff72-94e9-47cb-bffc-04364fe6ec0a;10895;Vegyes;33
69861632-a93d-4683-b103-5e0b77bfeaef;18455;Egyes;3
69861632-a93d-4683-b103-5e0b77bfeaef;16929;Egyes;1
69861632-a93d-4683-b103-5e0b77bfeaef;18805;Egyes;17
69861632-a93d-4683-b103-5e0b77bfeaef;17037;Egyes;2
69861632-a93d-4683-b103-5e0b77bfeaef;18804;Egyes;5
69861632-a93d-4683-b103-5e0b77bfeaef;18388;Egyes;3
69861632-a93d-4683-b103-5e0b77bfeaef;16027;Egyes;9
69861632-a93d-4683-b103-5e0b77bfeaef;16747;Egyes;5
69861632-a93d-4683-b103-5e0b77bfeaef;19024;Egyes;17
69861632-a93d-4683-b103-5e0b77bfeaef;17736;Egyes;5
69861632-a93d-4683-b103-5e0b77bfeaef;18526;Egyes;CS4
69861632-a93d-4683-b103-5e0b77bfeaef;16648;Egyes;17
69861632-a93d-4683-b103-5e0b77bfeaef;15335;Egyes;CS3
69861632-a93d-4683-b103-5e0b77bfeaef;14514;Egyes;17
69861632-a93d-4683-b103-5e0b77bfeaef;18507;Egyes;5
69861632-a93d-4683-b103-5e0b77bfeaef;18329;Egyes;9
69861632-a93d-4683-b103-5e0b77bfeaef;16035;Egyes;17
69861632-a93d-4683-b103-5e0b77bfeaef;21379;Egyes;CS3
69861632-a93d-4683-b103-5e0b77bfeaef;19558;Egyes;CS4
69861632-a93d-4683-b103-5e0b77bfeaef;17853;Egyes;9
69861632-a93d-4683-b103-5e0b77bfeaef;19869;Egyes;CS4
69861632-a93d-4683-b103-5e0b77bfeaef;21657;Egyes;17
69861632-a93d-4683-b103-5e0b77bfeaef;20146;Egyes;17
69861632-a93d-4683-b103-5e0b77bfeaef;8739;Egyes;17
69861632-a93d-4683-b103-5e0b77bfeaef;17168;Egyes;CS3
69861632-a93d-4683-b103-5e0b77bfeaef;17463;Egyes;CS3
69861632-a93d-4683-b103-5e0b77bfeaef;21892;Egyes;CS4
69861632-a93d-4683-b103-5e0b77bfeaef;10945;Egyes;17
69861632-a93d-4683-b103-5e0b77bfeaef;16140;Egyes;CS3
69861632-a93d-4683-b103-5e0b77bfeaef;22221;Egyes;CS3
